Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
11/19/2015 2:27 PM,6100 Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
11/21/2015 9:03 PM,5800 Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
11/23/2015 1:05 AM,5615 Woodlawn,African American,Male,Lane Violation,Illegal U-Turn,N/A,Verbal Warning,No
11/26/2015 10:11 PM,Midway Plaisance and Dorchester,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
11/27/2015 9:26 AM,5900 S Stony Island,African American,Male,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
11/29/2015 11:18 AM,1130 E 56TH ,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
11/29/2015 5:07 PM,Midway & Ellis,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
12/2/2015 2:23 PM,5700 S Cornell,African American,Male,Lane Violation,No turn signal (almost caused accident),N/A,Verbal Warning,No
12/5/2015 2:32 PM,5500 S Woodlawn,African American,Male,Lane Violation,No turn signal,N/A,Verbal Warning,No
12/7/2015 5:54 PM,5000 S Blackstone,African American,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
12/10/2015 7:09 PM,5300 S Harper,Caucasian,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
12/14/2015 9:44 PM,5300 Cottage Grove,African American,Male,Moving Violation - Other,Failure to yield (almost caused accident),N/A,Verbal Warning,No
12/24/2015 2:31 AM,Midway & University,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
12/26/2015 5:06 PM,5630 S University,Caucasian,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
1/9/2016 10:34 AM,1100 E 57th ,Caucasian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,N/A,Verbal Warning,No
1/12/2016` 4:16 PM,5800 S. Woodlawn,Caucasian,Female,Lane Violation,Driving on crosswalk,N/A,Verbal Warning,No
1/14/2016 10:28 AM,5700 S. University,Asian,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
1/14/2016 8:14 PM,6100 S. University,African American,Female,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
1/21/2016 8:49 PM,6000 S Drexel,African American,Male,Traffic Sign/Signal,Failed to stop at intersection with pedestrians in area,Citation issued for disobeying stop sign,Citation Issued,No
1/22/2016 7:32 PM,5626 S Blackstone,African American,Male,Traffic Sign/Signal,Running stop sign and speeding,N/A,Verbal Warning,No
1/26/2016 10:42 PM,5500 Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
1/30/2016 2:41 AM,5100 Drexel Ave,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/5/2016 6:16 PM,5950 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/5/2016 9:25 PM,6200 S Stony Island,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/7/2016 1:32 PM,5730 S University,African American,Female,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/7/2016 5:48 PM,1236 E 53rd,African American,Male,Moving Violation - Other,Unauthorized use of parking places reserved for persons with disability,Citation issued for unauthorized use of parking places reserved for persons with disability,Citation Issued,No
2/10/2016 5:05 PM,5300 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/13/2016 1:38 PM,5700 S Ellis,African American,Female,Moving Violation - Other,Driving with someone on the hood of the vehicle,N/A,Verbal Warning,No
2/13/2016 8:16 PM,5400 Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
2/14/2016 12:53 AM,6000 Cottage Grove,Asian,Male,Lane Violation,Wrong way on one way road,N/A,Verbal Warning,No
2/19/2016 9:59 PM,"5200 S, Blac kstone",African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
2/20/2016 12:49 AM,5300 S. Ingleside,African American,Female,Lane Violation,Improper lane usage,Citation issued for improper passing/overtaking,Citation Issued,No
2/21/2016 1:38 PM,5700 S. Woodalwn,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
2/21/2016 1:42 PM,5500 S. Woodlawn,African American,Male,Lane Violation,Improper passing/overtaking,N/A,Verbal Warning,No
2/25/2016 5:17 PM,6100 S Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
2/27/2016 12:27 AM,5300 Cornell,African American,Male,Traffic Sign/Signal,Ran red light,2 citations issued for disobeying traffic sign and no valid insurance,Citation Issued,No
2/29/2016 2:31 PM,5300 S Woodlawn,Hispanic,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
3/3/2016 12:23 AM,5300 Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
3/8/2016 11:55 PM,5900 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
3/10/2016 9:12 AM,6100 S Ingleside,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
3/13/2016 3:09 AM,5300 Harper,African American,Male,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
3/13/2016 5:50 AM,5700 S Cottage Grove,African American,Female,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
3/15/2016 6:03 PM,4800 S Drexel,African American,Female,Lane Violation,Wrong way on one way street,N/A,Verbal Warning,No
3/19/2016 9:49 PM,4700 S Woodlawn,African American,Male,Lane Violation,Improper turn,N/A,Verbal Warning,No
3/23/2016 8:42 PM,6100 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
3/24/2016 8:38 AM,1151 E 51st,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued for failure to yield and no valid registration ,Citation Issued,No
3/24/2016 8:40 AM,5040 S Blackstone,African American,Male,Lane Violation,Turning right in front of CTA bus,N/A,Verbal Warning,No
3/24/2016 10:37 AM,5400 S Dorchester,African American,Male,Lane Violation,Turning without signaling (cutting off vehicle in other lane),Two citations issued for lane violation and tail light violation,Citation Issued,No
3/25/2016 9:41 PM,6300 S Drexel,African American,Male,Lane Violation,Illegal left turn,N/A,Verbal Warning,No
3/26/2016 9:58 AM,Kenwood & Midway Plaisance,African American,Female,Speed,Speeding,N/A,Verbal Warning,No
3/26/2016 7:07 PM,6400 S Cottage Grove,African American,Male,Lane Violation,Improper turn,N/A,Verbal Warning,No
3/28/2016 5:10 AM,5700 S Woodlawn,African American,Female,Moving Violation - Other,Improper parking on roadway,"Three citations issued for suspended license, no insurance, and no registration",Citation Issued,No
3/28/2016 2:21 PM,1219 E 63rd,African American,Male,Traffic Sign/Signal,Ran red light,N/A,Verbal Warning,No
3/30/2016 11:25 AM,5700 S University,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,N/A,Verbal Warning,No
3/31/2016 7:29 PM,63rd and Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/1/2016 9:43 PM,1307 E 60th St.,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/5/2016 7:53 PM,6300 S Greenwood,African American,Male,Traffic Sign/Signal,Ran two stop signs,N/A,Verbal Warning,No
4/6/2016 5:25 PM,5700 S University,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/6/2016 7:02 PM,6120 S Ellis,African American,Male,Moving Violation - Other,Driving on sidewalk,N/A,Verbal Warning,No
4/7/2016 1:03 PM,1431 E 51st,African American,Female,Traffic Sign/Signal,Ran red light,Two citations issued for disobeying traffic signal and suspended license,Citation Issued,No
4/8/2016 4:18 PM,5700 S University,African American,Male,Traffic Sign/Signal,Ran stop sign,N/A,Verbal Warning,No
4/12/2016 11:50 AM,5500 S Everett,African American,Male,License Plate/Registration,No front license plate,N/A,Verbal Warning,No
